Designator,Mid X,Mid Y,Rotation,Layer
J1,27.94,2.54,90.0,top
J10,60.071,33.528,180.0,top
J11,41.275,19.431,0.0,top
J12,58.674,19.431,0.0,top
J13,76.327,19.431,0.0,top
J14,13.716,47.498,180.0,top
J15,5.715,5.842,0.0,top
J16,6.096,40.005,270.0,top
J17,17.145,5.969,0.0,top
J2,18.796,50.8,90.0,top
J3,50.8,2.54,90.0,top
J4,45.72,50.8,90.0,top
J5,73.66,2.54,90.0,top
J6,68.58,50.8,90.0,top
J7,93.98,7.62,180.0,top
J8,15.514,27.2695,270.0,top
J9,77.756,33.528,180.0,top
R1,34.671,28.704,270.0,top
R2,29.464,41.783,180.0,top
U1,29.275,28.702,0.0,top
U2,28.18,16.257,0.0,top
U3,29.301,36.192,0.0,top
